sno,productType,mainProduct,productName,description,brand,sku,weight,category_lvl1,category_lvl2,category_lvl3,category_lvl4,regularPrice,onSale,salePrice,quantity,mainImage,galleryImages,attribute_1_name,attribute_1_values,attribute_2_name,attribute_2_values,attribute_3_name,attribute_3_values,attribute_4_name,attribute_4_values
1001,Simple,,"Heavy Casted High Collor Ruby Set(With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted High Collor Ruby Set(With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1001-94-AH,0.5,Fashion,Jewelry,,,"14,700",,,1,https://cdn.bazaarghar.com/TS/1001-94-AH-RJ.jpg,"https://cdn.bazaarghar.com/TS/1001-94-AH-RJ.jpg, https://cdn.bazaarghar.com/TS/1001-94-AH-(2).jpg, https://cdn.bazaarghar.com/TS/1001-94-AH-RJ-(2).jpg",color,Ruby,,,,,,
1003,Simple,,"Heavy Casted Ruby  Collar  Set(With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Ruby  Collar  Set(With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1003-88-AH,0.5,Fashion,Jewelry,,,"14,200",,,1,https://cdn.bazaarghar.com/TS/1003-88-AH-2.jpg,https://cdn.bazaarghar.com/TS/1003-88-AH.jpg,color,Ruby,,,,,,
1004,Simple,,"Artisan Crafted Casted Set With A Combination Of Polki, Zirkon And Emerald (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Artisan Crafted Casted Set With A Combination Of Polki, Zirkon And Emerald (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1004-88-AA,0.5,Fashion,Jewelry,,,"14,400",,,,https://cdn.bazaarghar.com/TS/1004-88-AA-RJ.jpg,"https://cdn.bazaarghar.com/TS/1004-88-AA.jpg, https://cdn.bazaarghar.com/TS/1004-88-AA-RJ-(2).jpg",color,Emerald,,,,,,
,Main,,"Heavy Casted Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Champagne Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,,0.5,Fashion,Jewelry,,,"13,400",,,,https://cdn.bazaarghar.com/TS/1006-88-AH.jpg,https://cdn.bazaarghar.com/TS/1006-88-AH-(2).jpg,color,"Champagne, Ruby, Emerald, Pink",,,,,,
1006,Variant,"Heavy Casted Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Champagne Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Champagne Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1006-88-AH,0.5,Fashion,Jewelry,,,"13,400",,,1,https://cdn.bazaarghar.com/TS/1006-88-AH.jpg,https://cdn.bazaarghar.com/TS/1006-88-AH-(2).jpg,color,Champagne,size,xl,,,,
1007,Variant,"Heavy Casted Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Rubi Oxidised Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Rubi Oxidised Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1007-75-AH,0.5,Fashion,Jewelry,,,"13,400",,,1,https://cdn.bazaarghar.com/TS/1007-75-AH.jpg,https://cdn.bazaarghar.com/TS/1007-75-AH-(2).jpg,color,Ruby,,,,,,
1008,Variant,"Heavy Casted Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Rubi Oxidised Leaf Style Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Rubi Oxidised Leaf Style Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1008-75-AH,0.5,Fashion,Jewelry,,,"13,400",,,1,https://cdn.bazaarghar.com/TS/1008-75-AH.jpg,,color,Pink,,,,,,
1010,Variant,"Heavy Casted Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Emerald Leaf Style Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated","Heavy Casted Emerald Leaf Style Neck Set With A Touch Of Polki (With Ear Rings, Jhoomer, Bindia) - Gold Plated",TS Jewellery,1010-75-AH,0.5,Fashion,Jewelry,,,"13,650",,,1,https://cdn.bazaarghar.com/TS/1010-75-AH-RJ-(2).jpg,"https://cdn.bazaarghar.com/TS/1010-75-AH-(4).jpg, https://cdn.bazaarghar.com/TS/1010-75-AH-(2).jpg",color,Emerald,,,,,,
1013,Simple,,Champagne Color Gold Plated Polki Loaded Necklace (With Bindia And Ear Rings),Champagne Color Gold Plated Polki Loaded Necklace (With Bindia And Ear Rings),TS Jewellery,1013-44-AC,0.5,Fashion,Jewelry,,,"12,800",,,1,https://cdn.bazaarghar.com/TS/1013-44-AC.jpg,,color,Champagne,,,,,,
1015,Simple,,Fine Crafted Real Zirkon Loaded Collar Set With Champagne Stones And Pearl Finesse (With Bindia And Ear Rings),Fine Crafted Real Zirkon Loaded Collar Set With Champagne Stones And Pearl Finesse (With Bindia And Ear Rings),TS Jewellery,1015-100-AF,0.5,Fashion,Jewelry,,,"19,600",,,1,https://cdn.bazaarghar.com/TS/1015-100-AF.jpg,"https://cdn.bazaarghar.com/TS/1015-100-AF-(2).jpg, https://cdn.bazaarghar.com/TS/1015-100-AF-AB-(2).jpg",color,Champagne,,,,,,
